Header
"www.youtube.com"
"i.ytimg.com"
"www.gstatic.com"
"apis.google.com"
"families.google.com"
"client-channel.google.com"
"clients4.google.com"
"support.google.com"
"accountlinking-pa-clients6.youtube.com"
"oauthintegrations-clients6.youtube.com"
"www.google.com.tw"
"suggestqueries-clients6.youtube.com"
"fonts.googleapis.com"
"r5---sn-ipoxu-u2x6.googlevideo.com"
"m.youtube.com"
"www.google.com"
"music.youtube.com"
"tpc.googlesyndication.com"
"roo.gnjoy.hk"
"yt3.ggpht.com"
"ade.googlesyndication.com"
"pagead2.googlesyndication.com"
"accounts.google.com"
"developers.google.com"
"rr5---sn-ipoxu-u2x6.googlevideo.com"
"www.lyrical-nonsense.com"
"rr3---sn-ipoxu-u2x6.googlevideo.com"
"rr1---sn-ipoxu-u2xy.googlevideo.com"
"rr3---sn-ipoxu-u2xy.googlevideo.com"
"rr2---sn-ipoxu-u2x6.googlevideo.com"
"rr4---sn-ipoxu-u2xd.googlevideo.com"
"rr7---sn-ipoxu-u2x6.googlevideo.com"
"rr8---sn-ipoxu-u2xd.googlevideo.com"
"s.youtube.com"
"rr5---sn-ipoxu-u2xy.googlevideo.com"
"rr4---sn-ipoxu-u2x6.googlevideo.com"
"rr1---sn-ipoxu-u2xd.googlevideo.com"
"rr2---sn-ipoxu-u2xd.googlevideo.com"
"payments.youtube.com"
"rr6---sn-ipoxu-u2xd.googlevideo.com"
"fonts.gstatic.com"
